1778069078604|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? ORDER BY value DESC LIMIT 10 |SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' ORDER BY value DESC LIMIT 10 
1778069078606|3|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC |SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC 
1778069078627|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069078633|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069078635|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COUNT(*) FROM employee WHERE company_code = ? AND use_yn = ?|SELECT COUNT(*) FROM employee WHERE company_code = '1000' AND use_yn = 'Y'
1778069078639|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn=? and cc1_0.company_code=?|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn='Y' and cc1_0.company_code='1000'
1778069110169|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT @@character_set_database, @@sql_mode|SELECT @@character_set_database, @@sql_mode
1778069110678|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select distinct	a.table_schema as TABLE_CAT,	null as TABLE_SCHEM,	a.table_name as TABLE_NAME,	a.non_unique as NON_UNIQUE,	null as INDEX_QUALIFIER,	a.index_name as INDEX_NAME,	3 as TYPE,	a.seq_in_index as ORDINAL_POSITION,	a.column_name as COLUMN_NAME,	a.collation as ASC_OR_DESC,	a.cardinality as CARDINALITY,	0 as PAGES,	null as FILTER_CONDITION from information_schema.statistics a  where a.table_schema = ? order by a.non_unique, a.index_name, a.seq_in_index|select distinct	a.table_schema as TABLE_CAT,	null as TABLE_SCHEM,	a.table_name as TABLE_NAME,	a.non_unique as NON_UNIQUE,	null as INDEX_QUALIFIER,	a.index_name as INDEX_NAME,	3 as TYPE,	a.seq_in_index as ORDINAL_POSITION,	a.column_name as COLUMN_NAME,	a.collation as ASC_OR_DESC,	a.cardinality as CARDINALITY,	0 as PAGES,	null as FILTER_CONDITION from information_schema.statistics a  where a.table_schema = 'laundry_db' order by a.non_unique, a.index_name, a.seq_in_index
1778069110696|5|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select distinct	a.referenced_table_schema as PKTABLE_CAT,	null as PKTABLE_SCHEM,	a.referenced_table_name as PKTABLE_NAME,	a.referenced_column_name as PKCOLUMN_NAME,	a.table_schema as FKTABLE_CAT,	null as FKTABLE_SCHEM,	a.table_name AS FKTABLE_NAME,	a.column_name as FKCOLUMN_NAME,	a.position_in_unique_constraint as KEY_SEQ,	case b.update_rule when 'RESTRICT' then 1 when 'NO ACTION' then 3 when 'CASCADE' then 0 when 'SET NULL' then 2 when 'SET DEFAULT' then 4 end as UPDATE_RULE,	case b.delete_rule when 'RESTRICT' then 1 when 'NO ACTION' then 3 when 'CASCADE' then 0 when 'SET NULL' then 2 when 'SET DEFAULT' then 4 end as DELETE_RULE,	a.constraint_name as FK_NAME,	b.unique_constraint_name as PK_NAME from information_schema.key_column_usage a join information_schema.referential_constraints b using (constraint_catalog, constraint_schema, constraint_name)  where a.table_schema = ? order by a.referenced_table_schema, a.referenced_table_name, a.constraint_name, a.position_in_unique_constraint|select distinct	a.referenced_table_schema as PKTABLE_CAT,	null as PKTABLE_SCHEM,	a.referenced_table_name as PKTABLE_NAME,	a.referenced_column_name as PKCOLUMN_NAME,	a.table_schema as FKTABLE_CAT,	null as FKTABLE_SCHEM,	a.table_name AS FKTABLE_NAME,	a.column_name as FKCOLUMN_NAME,	a.position_in_unique_constraint as KEY_SEQ,	case b.update_rule when 'RESTRICT' then 1 when 'NO ACTION' then 3 when 'CASCADE' then 0 when 'SET NULL' then 2 when 'SET DEFAULT' then 4 end as UPDATE_RULE,	case b.delete_rule when 'RESTRICT' then 1 when 'NO ACTION' then 3 when 'CASCADE' then 0 when 'SET NULL' then 2 when 'SET DEFAULT' then 4 end as DELETE_RULE,	a.constraint_name as FK_NAME,	b.unique_constraint_name as PK_NAME from information_schema.key_column_usage a join information_schema.referential_constraints b using (constraint_catalog, constraint_schema, constraint_name)  where a.table_schema = 'laundry_db' order by a.referenced_table_schema, a.referenced_table_name, a.constraint_name, a.position_in_unique_constraint
1778069121468|3|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069121468|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? ORDER BY value DESC LIMIT 10 |SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' ORDER BY value DESC LIMIT 10 
1778069121468|3|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC |SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC 
1778069121480|1|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069121482|1|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COUNT(*) FROM employee WHERE company_code = ? AND use_yn = ?|SELECT COUNT(*) FROM employee WHERE company_code = '1000' AND use_yn = 'Y'
1778069121528|2|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? ORDER BY value DESC LIMIT 10 |SELECT     c.partner_name AS name,     COALESCE(CAST((         CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END     ) * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) AS SIGNED), 0) AS value FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' ORDER BY value DESC LIMIT 10 
1778069121528|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = ? -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC |SELECT     dw.work_month AS month,     COALESCE(CAST(SUM(         (CASE             WHEN c.store_type = 'MONTH' THEN c.expected_amount             ELSE dw.total_qty * c.delivery_fee         END)         * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END)     ) AS SIGNED), 0) AS amount FROM client_company c JOIN (     SELECT         partner_id,         DATE_FORMAT(work_date, '%Y-%m') AS work_month,         SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 12 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id, DATE_FORMAT(work_date, '%Y-%m') ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y' AND c.company_code = '1000' -- 2. 메인쿼리: 월별로 최종 매출액 합산 GROUP BY dw.work_month ORDER BY dw.work_month ASC 
1778069121533|0|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn=? and cc1_0.company_code=?|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn='Y' and cc1_0.company_code='1000'
1778069121542|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(NOW(), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069121547|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = ? |SELECT COALESCE(CAST(SUM(     (CASE         WHEN c.store_type = 'MONTH' THEN c.expected_amount         ELSE dw.total_qty * c.delivery_fee     END)     * (CASE WHEN c.vat_yn = 'Y' THEN 1.1 ELSE 1.0 END) ) AS SIGNED), 0) FROM client_company c JOIN (     SELECT partner_id, SUM(qty) AS total_qty     FROM daily_work     -- 💡 2개월 전 1일부터 ~ 1개월 전 1일 직전(말일)까지     WHERE work_date >= DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 2 MONTH), '%Y-%m-01')       AND work_date < DATE_FORMAT(DATE_SUB(NOW(), INTERVAL 1 MONTH), '%Y-%m-01')     GROUP BY partner_id ) dw ON c.id = dw.partner_id WHERE c.use_yn = 'Y'   AND c.company_code = '1000' 
1778069121556|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|SELECT COUNT(*) FROM employee WHERE company_code = ? AND use_yn = ?|SELECT COUNT(*) FROM employee WHERE company_code = '1000' AND use_yn = 'Y'
1778069121560|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/laundry_db?serverTimezone=Asia/Seoul|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn=? and cc1_0.company_code=?|select count(cc1_0.id) from client_company cc1_0 where cc1_0.use_yn='Y' and cc1_0.company_code='1000'
